pokedex_number,name,german_name,japanese_name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,normal,fire,water,electric,grass,ice,fight,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
1,Bulbasaur,Bisasam,フシギダネ (Fushigidane),1,Normal,Seed Pokémon,Grass,Poison,0.7,6.9,Overgrow,,Chlorophyll,45,49,49,65,65,45,45.0,70.0,64.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,Ivysaur,Bisaknosp,フシギソウ (Fushigisou),1,Normal,Seed Pokémon,Grass,Poison,1.0,13.0,Overgrow,,Chlorophyll,60,62,63,80,80,60,45.0,70.0,142.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,Venusaur,Bisaflor,フシギバナ (Fushigibana),1,Normal,Seed Pokémon,Grass,Poison,2.0,100.0,Overgrow,,Chlorophyll,80,82,83,100,100,80,45.0,70.0,236.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,Mega Venusaur,Bisaflor,フシギバナ (Fushigibana),1,Normal,Seed Pokémon,Grass,Poison,2.4,155.5,Thick Fat,,,80,100,123,122,120,80,45.0,70.0,281.0,Medium Slow,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,Charmander,Glumanda,ヒトカゲ (Hitokage),1,Normal,Lizard Pokémon,Fire,,0.6,8.5,Blaze,,Solar Power,39,52,43,60,50,65,45.0,70.0,62.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,Charmeleon,Glutexo,リザード (Lizardo),1,Normal,Flame Pokémon,Fire,,1.1,19.0,Blaze,,Solar Power,58,64,58,80,65,80,45.0,70.0,142.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,Charizard,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,Fire,Flying,1.7,90.5,Blaze,,Solar Power,78,84,78,109,85,100,45.0,70.0,240.0,Medium Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
6,Mega Charizard X,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,Fire,Dragon,1.7,110.5,Tough Claws,,,78,130,111,130,85,100,45.0,70.0,285.0,Medium Slow,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
6,Mega Charizard Y,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,Fire,Flying,1.7,100.5,Drought,,,78,104,78,159,115,100,45.0,70.0,285.0,Medium Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,Squirtle,Schiggy,ゼニガメ (Zenigame),1,Normal,Tiny Turtle Pokémon,Water,,0.5,9.0,Torrent,,Rain Dish,44,48,65,50,64,43,45.0,70.0,63.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
8,Wartortle,Schillok,カメール (Kameil),1,Normal,Turtle Pokémon,Water,,1.0,22.5,Torrent,,Rain Dish,59,63,80,65,80,58,45.0,70.0,142.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
9,Blastoise,Turtok,カメックス (Kamex),1,Normal,Shellfish Pokémon,Water,,1.6,85.5,Torrent,,Rain Dish,79,83,100,85,105,78,45.0,70.0,239.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
9,Mega Blastoise,Turtok,カメックス (Kamex),1,Normal,Shellfish Pokémon,Water,,1.6,101.1,Mega Launcher,,,79,103,120,135,115,78,45.0,70.0,284.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,Caterpie,Raupy,キャタピー (Caterpie),1,Normal,Worm Pokémon,Bug,,0.3,2.9,Shield Dust,,Run Away,45,30,35,20,20,45,255.0,70.0,39.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
11,Metapod,Safcon,トランセル (Transel),1,Normal,Cocoon Pokémon,Bug,,0.7,9.9,Shed Skin,,,50,20,55,25,25,30,120.0,70.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
